Discharge_Class_m3y,Mean_Retention,Median_Retention,Std_Dev,Basin_Count
<10$^7$,0.6639079466675115,0.737630042641677,0.2774524663697744,161
10$^7$-10$^8$,0.6897557494883253,0.741309610372888,0.22803012167496772,997
10$^8$-10$^9$,0.7726588515242456,0.8528042883578439,0.22476170236902837,1532
10$^9$-10$^{10}$,0.8981033100408838,0.968271920461337,0.19934395889613665,229
10$^{10}$-10$^{11}$,0.9072722345160948,0.992232474067208,0.24234391078529868,21
>10$^{11}$,0.997947603522327,0.997947603522327,,1
