subbasn,ret_final,ar_sqkm,mean_discharge_m3y
108.0,0.9141,138815.1343,6.5717407e+09
111.0,0.999930376686486,393508.5354,1.1771051e+10
112.0,0.988139473635616,16795.2054,4.4799462e+08
113.0,0.982536909945793,778816.1163,2.5346645e+08
114.0,0.994837058320317,25717.50579,1.6667395e+09
115.0,0.96770694574817,20586.09957,4.327709e+08
116.0,0.934703624965606,26640.03931,4.5334515e+08
117.0,0.890138292425237,55414.20999,7.596919e+08
118.0,0.99970728935969,311173.0824,1.1472571e+09
119.0,0.9021,31095.73774,2.8901942e+08
120.0,0.930844366054811,140069.0938,1.7077248e+09
121.0,0.976757469469574,257566.2928,1.01720915e+09
122.0,0.960857966319329,167492.1257,2.3236326e+09
123.0,0.981901275988667,117920.4848,8.5394074e+08
124.0,0.979978352782854,116246.7888,1.8084143e+09
125.0,0.760746465170944,61426.94762,1.5607379e+09
126.0,0.996858904405733,265869.3338,1.5809889e+09
127.0,0.984206655598043,57402.76152,6.186393e+08
128.0,0.971005472460882,191122.3302,5.2242723e+08
129.0,0.914902530248286,124914.0089,1.3779322e+09
130.0,0.938999972567042,37786.21668,4.082278e+08
131.0,0.99901058565632,99267.15131,1.6461966e+09
132.0,0.996472908588371,774564.6623,2.2345492e+09
133.0,0.985276376555791,687755.9498,2.2898975e+09
134.0,0.987549659347363,422265.0881,9.061985e+08
135.0,0.988550057936019,344393.8332,1.0246723e+10
136.0,0.992232474067208,231786.8115,1.9601424e+10
137.0,0.998897046968278,224247.4531,1.3394699e+08
138.0,0.996908260464065,421735.2852,1.3484046e+08
139.0,0.999880203941897,118787.3045,8.554726e+08
140.0,0.978736893601023,48934.28388,1.30021144e+08
141.0,0.811985339231964,25525.19846,8.572792e+08
142.0,0.990591691976336,596123.4999,1.6747836e+09
143.0,0.983190352056671,363425.9898,2.3405404e+09
144.0,0.999989895780753,316721.0328,1.1521013e+10
145.0,0.990416660392606,263388.009,1.2571924e+09
146.0,0.997847370516819,162019.7894,1.6286374e+09
147.0,0.967582086150815,259774.4045,4.4289454e+09
148.0,0.990185570871846,143664.5345,2.1889626e+09
149.0,0.999468900130413,95056.53484,7.8147475e+08
150.0,0.95328818037766,372541.6641,6.702719e+09
151.0,0.984485972308775,162989.0849,1.9354939e+09
152.0,0.994609910631641,147322.6131,9.952856e+09
153.0,0.872658681520168,109759.9191,6.435438e+08
154.0,0.997398203154714,68939.28632,1.7736589e+09
155.0,0.996550377314664,81627.73461,8.9356736e+08
156.0,0.629304007902448,1352142.259,8.0704915e+08
157.0,0.587925002115044,527320.8641,3.116089e+09
158.0,0.996158637456314,448633.1149,1.3952046e+09
159.0,0.989191082310706,410823.1931,4.6698426e+08
160.0,0.996648827148993,316634.2107,1.285949e+10
161.0,0.909548923738025,179143.2591,4.6906966e+08
162.0,0.68875147574771,111152.9522,8.893783e+08
163.0,0.999984727651189,1057579.056,1.4883259e+08
164.0,0.982306743490652,60823.71006,4.8845514e+08
165.0,0.989222479766101,102596.1026,2.8616868e+09
166.0,0.969285049888626,54681.77657,5.0271136e+08
167.0,0.922959221017919,420206.9705,4.3919744e+08
168.0,0.837651977448433,367490.5072,4.8929094e+08
169.0,0.987602899673318,256319.0618,1.462626e+09
170.0,0.999984326848691,127353.2295,1.8948832e+09
179.0,0.987591472221173,97435.39633,5.166208e+08
180.0,0.867396781495977,288122.8587,1.5140812e+09
181.0,0.99,563341.5307,8.1848186e+08
182.0,0.999984810188907,532996.2069,2.0845231e+09
183.0,0.970332321189013,331485.262,1.5354879e+09
184.0,0.923168096458487,188577.7741,1.7193742e+08
185.0,0.936751565186927,174524.2722,9.044578e+06
186.0,0.9108,1581565.666,9.3256403e+08
187.0,0.9528,979367.11,1.774181e+09
188.0,0.963617365482743,322570.2661,1.7722766e+09
189.0,0.75,5892.280418,
190.0,0.994895514603537,1154689.991,9.1154496e+08
191.0,0.991213137856821,858315.925,2.0231813e+09
192.0,0.996681223286003,483787.053,7.3559665e+09
193.0,0.931471818916442,118846.5435,5.6914874e+08
194.0,0.956680705069446,221504.9151,2.352662e+09
195.0,0.978337249510637,204733.0944,1.4649892e+09
196.0,0.885084401809919,55286.95963,7.604284e+07
197.0,0.916052060214362,55205.04866,8.926762e+08
198.0,0.99,954969.1047,1.780974e+08
199.0,0.989154440787371,960881.7583,1.0197564e+10
200.0,0.87504852498086,29392.31713,4.258216e+08
201.0,0.998206196275152,961047.0029,5.9212047e+09
202.0,0.995325620141054,675750.2198,2.0439887e+09
203.0,0.999934510554036,385176.9059,1.047812e+10
204.0,0.994507383694323,358011.9953,4.458814e+09
205.0,0.93308767770039,350738.9803,1.745491e+09
206.0,0.479331205376071,196632.899,2.4512386e+08
208.0,0.99517963103861,338744.5313,7.363061e+08
209.0,0.891110487294868,193651.7049,3.7377318e+09
210.0,0.481064944129322,76563.05061,7.921309e+08
211.0,0.62468918743596,50240.77469,1.4025257e+09
212.0,0.915057399713681,45224.80718,8.5554417e+09
213.0,0.989243306850816,33870.98022,1.4751647e+09
214.0,0.875123826981193,33623.78585,1.0480978e+09
215.0,0.999409636106455,141409.1979,4.583922e+09
216.0,0.925285536070879,91203.66022,1.575919e+09
217.0,0.945182979461577,88907.65286,1.3872631e+09
218.0,0.75,1302.668279,9.47282e+07
219.0,0.999836662725983,78096.68155,1.405766e+09
220.0,0.982461381182477,56653.63868,1.0749352e+08
221.0,0.869125937237615,80756.36674,5.2087213e+08
222.0,0.964647032125977,85077.98821,1.7075889e+09
223.0,0.903164416830234,19864.74343,2.332264e+08
224.0,0.996010719498194,110563.948,7.803719e+08
225.0,0.944031410286034,171672.3667,1.8633023e+09
226.0,0.67070094311325,16338.02527,8.213122e+08
227.0,0.999955855045304,169711.153,2.09958e+09
228.0,0.999990416168459,101784.493,1.8659425e+09
229.0,0.992175841974706,162606.4071,1.983952e+09
230.0,0.940897873194342,92344.45329,1.571263e+09
231.0,0.806187650089856,57056.1047,3.7858678e+08
232.0,0.997754861363495,289209.0374,3.297552e+09
233.0,0.997970572823905,639541.1124,2.7398705e+09
234.0,0.938958053003948,134740.8159,1.8730774e+09
235.0,0.996806725517683,73274.18464,9.522838e+08
236.0,0.998097879655423,112760.839,5.2802237e+08
237.0,0.999806263399572,75738.68058,5.639532e+08
238.0,0.998829121946057,333786.249,4.6365526e+08
239.0,0.998600262130918,102210.0395,6.1815834e+08
240.0,0.910811608467712,1048375.643,7.2132065e+09
241.0,0.937943748132592,22798.20685,9.3938605e+08
242.0,0.99999650555849,98446.27433,4.9319795e+08
243.0,0.979558787388514,66155.07639,7.7075155e+08
244.0,0.988776733456929,127096.7783,8.2313235e+08
245.0,0.995446983522463,140441.4677,1.2610605e+09
246.0,0.99917052558421,85448.96559,5.374921e+08
247.0,0.891679434197277,40121.2209,4.8876256e+08
248.0,0.921293527101368,27408.74941,4.5570422e+08
249.0,0.933875148160306,59547.64638,8.0422995e+08
250.0,0.922386428177679,27500.74232,8.398346e+08
251.0,0.979345306118307,338257.107,1.4562074e+09
