Size_Class_SqKm,Mean_Retention,Median_Retention,Std_Dev,Basin_Count
10$^2$-10$^3$,0.582236820716561,0.590274456078126,0.25064371396569807,3
10$^3$-10$^4$,0.6763501582610241,0.725754093924581,0.23869853200640054,1941
10$^4$-10$^5$,0.8784542061087814,0.930767400460482,0.15451174317386912,799
10$^5$-10$^6$,0.9479072473209417,0.984881174432283,0.09057869240431447,190
>10$^6$,0.9344611746880107,0.9872726970130039,0.12682068510065994,8
