subbasn,data_cov,mask_v1,grid_cells,gen_flux,out_flux,ratio,retention,mask_v2,mask_final,ret_valid,name,river,categry,mouth,ddm30_d,stn30_d,contnnt,sea,seabasn,lon,lat,strahlr,area,ar_sqkm,land_ar,arlndfr,grd_cll,sbbsn_c,t_sbbsn_d,t_sbbsn_c,A_juC1,A_jmT1,A_jmT3,A_jmC1,A_jmC2,A_jdC1,wrld_rg,wrld_r_,mask,to_sea,mask_pnv,ret_final,method,ratio_final
1212.0,1.0,0,3,13503.068427059,12920.38506648,0.956848077625723,0.043151922374277,0,0,0.043151922374277,Basin127163,Basin127163,individual river,0.0,0.0,0.0,not defined,Indian Ocean,not defined,41.25,-1.75,1.0,6193.0,6152.407475,5797.787403,0.942360763,2.0,,,,,,,,,,Africa,Africa,0.0,1.0,0,0.043151922374277,Calculated,0.956848077625723
1213.0,1.0,0,2,5246.372796,5246.372796,1.0,0.0,1,1,,Basin127164,Basin127164,individual river,0.0,0.0,0.0,not defined,Indian Ocean,not defined,41.75,-1.75,1.0,3096.0,3075.861661,0.0,0.0,1.0,,,,,,,,,,Africa,Africa,0.0,1.0,0,0.75,Fixed (Size <= 4 Grids),0.25
1214.0,1.0,0,4,3462.50913864,3462.50913864,1.0,0.0,1,1,,Basin127278,Basin127278,individual river,0.0,0.0,0.0,not defined,Indian Ocean,not defined,98.75,-1.75,1.0,3096.0,3075.861661,0.0,0.0,1.0,,,,,,,,,,Asia,Asia,0.0,1.0,0,0.75,Fixed (Size <= 4 Grids),0.25
1215.0,0.999999999999886,0,4,14428.442437,14428.442437,1.0,0.0,1,1,,Basin127279,Basin127279,individual river,0.0,0.0,0.0,not defined,Indian Ocean,not defined,99.25,-1.75,1.0,3096.0,3075.861661,0.0,0.0,1.0,,,,,,,,,,Asia,Asia,0.0,1.0,0,0.75,Fixed (Size <= 4 Grids),0.25
1216.0,1.0,0,2,79008.95142132,79008.95142132,1.0,0.0,1,1,,Basin127282,Basin127282,individual river,0.0,0.0,0.0,not defined,Indian Ocean,not defined,100.75,-1.75,1.0,3096.0,3075.861661,1622.269088,0.527419392,1.0,,,,,,,,,,Asia,Asia,0.0,1.0,0,0.75,Fixed (Size <= 4 Grids),0.25
1217.0,0.999999999999986,0,4,4891.70570174,354.37843362999996,0.072444757562571,0.927555242437429,0,0,0.927555242437429,Basin127290,Basin127290,individual river,0.0,0.0,0.0,not defined,Pacific Ocean,not defined,104.75,-1.75,1.0,6193.0,6151.723321,3028.795746,0.49234915,2.0,,,,,,,,,,Asia,Asia,0.0,1.0,0,0.927555242437429,Calculated,0.07244475756257096
1218.0,1.0,0,2,4637.009985327,4637.009985327,1.0,0.0,1,1,,Basin127291,Basin127291,individual river,0.0,0.0,0.0,not defined,Pacific Ocean,not defined,105.25,-1.75,1.0,3096.0,3075.861661,0.0,0.0,1.0,,,,,,,,,,Asia,Asia,0.0,1.0,0,0.75,Fixed (Size <= 4 Grids),0.25
1219.0,0.999999999999972,0,2,30197.8079024,30197.8079024,1.0,0.0,1,1,,Basin127292,Basin127292,individual river,0.0,0.0,0.0,not defined,Pacific Ocean,not defined,105.75,-1.75,1.0,3096.0,3075.861661,2630.048242,0.855060641,1.0,,,,,,,,,,Asia,Asia,0.0,1.0,0,0.75,Fixed (Size <= 4 Grids),0.25
1220.0,0.999999999999858,0,4,13103.090207,13103.090207,1.0,0.0,1,1,,Basin127293,Basin127293,individual river,0.0,0.0,0.0,not defined,Pacific Ocean,not defined,106.25,-1.75,1.0,3096.0,3075.861661,0.0,0.0,1.0,,,,,,,,,,Asia,Asia,0.0,1.0,0,0.75,Fixed (Size <= 4 Grids),0.25
1221.0,1.0,0,10,266759.706418057,26.753695817,0.000100291367749,0.999899708632251,0,0,0.999899708632251,Basin127300,Basin127300,individual river,0.0,0.0,0.0,not defined,Pacific Ocean,not defined,109.75,-1.75,2.0,15485.0,15381.81689,12127.08326,0.788403824,5.0,,,,,,,,,,Asia,Asia,0.0,1.0,0,0.999899708632251,Calculated,0.00010029136774902803
1222.0,1.0,0,4,330213.8816693,148668.0018504,0.450217298857493,0.549782701142507,0,0,0.549782701142507,Basin127313,Basin127313,individual river,0.0,0.0,0.0,not defined,Pacific Ocean,not defined,116.25,-1.75,2.0,9290.0,9228.269136,8851.352911,0.959156347,3.0,,,,,,,,,,Asia,Asia,0.0,1.0,0,0.549782701142507,Calculated,0.45021729885749295
1223.0,1.0,0,4,17652.44131818,17652.44131818,1.0,0.0,1,1,,Basin127319,Basin127319,individual river,0.0,0.0,0.0,not defined,Pacific Ocean,not defined,119.25,-1.75,1.0,3096.0,3075.861661,1146.697107,0.372805163,1.0,,,,,,,,,,Asia,Asia,0.0,1.0,0,0.75,Fixed (Size <= 4 Grids),0.25
1224.0,1.0,0,2,52671.88415296,52671.88415296,1.0,0.0,1,1,,Basin127324,Basin127324,individual river,0.0,0.0,0.0,not defined,Pacific Ocean,not defined,121.75,-1.75,1.0,3096.0,3075.861661,2035.182723,0.661662632,1.0,,,,,,,,,,Asia,Asia,0.0,1.0,0,0.75,Fixed (Size <= 4 Grids),0.25
1225.0,1.0,0,2,4502.077501289999,4502.077501289999,1.0,0.0,1,1,,Basin127325,Basin127325,individual river,0.0,0.0,0.0,not defined,Pacific Ocean,not defined,122.25,-1.75,1.0,3096.0,3075.861661,0.0,0.0,1.0,,,,,,,,,,Asia,Asia,0.0,1.0,0,0.75,Fixed (Size <= 4 Grids),0.25
1226.0,1.42e-13,1,4,0.0,0.0,,,1,1,,Basin127326,Basin127326,individual river,0.0,0.0,0.0,not defined,Pacific Ocean,not defined,122.75,-1.75,1.0,3096.0,3075.861661,0.0,0.0,1.0,,,,,,,,,,Asia,Asia,1.0,1.0,0,0.75,Fixed (Size <= 4 Grids),0.25
1227.0,0.999999999999972,0,4,964.91986175,964.91986175,1.0,0.0,1,1,,Basin127329,Basin127329,individual river,0.0,0.0,0.0,not defined,Pacific Ocean,not defined,124.25,-1.75,1.0,3096.0,3075.861661,0.0,0.0,1.0,,,,,,,,,,Asia,Asia,0.0,1.0,0,0.75,Fixed (Size <= 4 Grids),0.25
1228.0,0.999999999999972,0,2,6965.408273878,6965.408273878,1.0,0.0,1,1,,Basin127330,Basin127330,individual river,0.0,0.0,0.0,not defined,Pacific Ocean,not defined,124.75,-1.75,1.0,3096.0,3075.861661,1825.87662,0.593614675,1.0,,,,,,,,,,Asia,Asia,0.0,1.0,0,0.75,Fixed (Size <= 4 Grids),0.25
1229.0,0.999999999999972,0,2,762.1159295,762.1159295,1.0,0.0,1,1,,Basin127331,Basin127331,individual river,0.0,0.0,0.0,not defined,Pacific Ocean,not defined,125.25,-1.75,1.0,3096.0,3075.861661,0.0,0.0,1.0,,,,,,,,,,Asia,Asia,0.0,1.0,0,0.75,Fixed (Size <= 4 Grids),0.25
1230.0,0.999999999999972,0,2,652.8100747999999,652.8100747999999,1.0,0.0,1,1,,Basin127332,Basin127332,individual river,0.0,0.0,0.0,not defined,Pacific Ocean,not defined,125.75,-1.75,1.0,3096.0,3075.861661,0.0,0.0,1.0,,,,,,,,,,Asia,Asia,0.0,1.0,0,0.75,Fixed (Size <= 4 Grids),0.25
1231.0,0.999999999999972,0,2,3123.175295,3123.175295,1.0,0.0,1,1,,Basin127333,Basin127333,individual river,0.0,0.0,0.0,not defined,Pacific Ocean,not defined,126.25,-1.75,1.0,3096.0,3075.861661,0.0,0.0,1.0,,,,,,,,,,Asia,Asia,0.0,1.0,0,0.75,Fixed (Size <= 4 Grids),0.25
1232.0,1.0,0,4,1609.96885028,1609.96885028,1.0,0.0,1,1,,Basin127335,Basin127335,individual river,0.0,0.0,0.0,not defined,Pacific Ocean,not defined,127.25,-1.75,1.0,3096.0,3075.861661,0.0,0.0,1.0,,,,,,,,,,Asia,Asia,0.0,1.0,0,0.75,Fixed (Size <= 4 Grids),0.25
1233.0,1.0,0,4,17403.171482,17403.171482,1.0,0.0,1,1,,Basin127336,Basin127336,individual river,0.0,0.0,0.0,not defined,Pacific Ocean,not defined,127.75,-1.75,1.0,3096.0,3075.861661,1309.518274,0.425740303,1.0,,,,,,,,,,Asia,Asia,0.0,1.0,0,0.75,Fixed (Size <= 4 Grids),0.25
1234.0,0.999999999999886,0,4,15696.1410502,15696.1410502,1.0,0.0,1,1,,Basin127337,Basin127337,individual river,0.0,0.0,0.0,not defined,Pacific Ocean,not defined,128.25,-1.75,1.0,3096.0,3075.861661,0.0,0.0,1.0,,,,,,,,,,Asia,Asia,0.0,1.0,0,0.75,Fixed (Size <= 4 Grids),0.25
1235.0,1.0,0,2,4588.554645,4588.554645,1.0,0.0,1,1,,Basin127340,Basin127340,individual river,0.0,0.0,0.0,not defined,Pacific Ocean,not defined,129.75,-1.75,1.0,3096.0,3075.861661,0.0,0.0,1.0,,,,,,,,,,Asia,Asia,0.0,1.0,0,0.75,Fixed (Size <= 4 Grids),0.25
1236.0,1.0,0,2,5821.3649919,5821.3649919,1.0,0.0,1,1,,Basin127341,Basin127341,individual river,0.0,0.0,0.0,not defined,Pacific Ocean,not defined,130.25,-1.75,1.0,3096.0,3075.861661,1532.143203,0.498118372,1.0,,,,,,,,,,Asia,Asia,0.0,1.0,0,0.75,Fixed (Size <= 4 Grids),0.25
1237.0,1.0,0,6,344967.9633754,11567.557369,0.033532265593057,0.966467734406943,0,0,0.966467734406943,Basin127344,Basin127344,individual river,0.0,0.0,0.0,not defined,Pacific Ocean,not defined,131.75,-1.75,1.0,9290.0,9228.269136,6127.566276,0.66399952,3.0,,,,,,,,,,Asia,Asia,0.0,1.0,0,0.966467734406943,Calculated,0.033532265593057
1238.0,1.0,0,2,9821.7019262,9821.7019262,1.0,0.0,1,1,,Basin127349,Basin127349,individual river,0.0,0.0,0.0,not defined,Pacific Ocean,not defined,134.25,-1.75,1.0,3096.0,3075.861661,0.0,0.0,1.0,,,,,,,,,,Asia,Asia,0.0,1.0,0,0.75,Fixed (Size <= 4 Grids),0.25
1239.0,1.42e-13,1,4,0.0,0.0,,,1,1,,Basin127351,Basin127351,individual river,0.0,0.0,0.0,not defined,Pacific Ocean,not defined,135.25,-1.75,1.0,3096.0,3075.861661,0.0,0.0,1.0,,,,,,,,,,Asia,Asia,1.0,1.0,0,0.75,Fixed (Size <= 4 Grids),0.25
1240.0,1.0,0,4,739.8372211,739.8372211,1.0,0.0,1,1,,Basin127352,Basin127352,individual river,0.0,0.0,0.0,not defined,Pacific Ocean,not defined,135.75,-1.75,1.0,3096.0,3075.861661,0.0,0.0,1.0,,,,,,,,,,Asia,Asia,0.0,1.0,0,0.75,Fixed (Size <= 4 Grids),0.25
1241.0,1.0,0,4,3796.0806384,3796.0806384,1.0,0.0,1,1,,Basin127353,Basin127353,individual river,0.0,0.0,0.0,not defined,Pacific Ocean,not defined,136.25,-1.75,1.0,3096.0,3075.861661,1284.187014,0.417504802,1.0,,,,,,,,,,Asia,Asia,0.0,1.0,0,0.75,Fixed (Size <= 4 Grids),0.25
1242.0,0.999999999999972,0,4,1027.3599562,1027.3599562,1.0,0.0,1,1,,Basin127354,Basin127354,individual river,0.0,0.0,0.0,not defined,Pacific Ocean,not defined,136.75,-1.75,1.0,3096.0,3075.861661,0.0,0.0,1.0,,,,,,,,,,Asia,Asia,0.0,1.0,0,0.75,Fixed (Size <= 4 Grids),0.25
1243.0,0.999999999999986,0,3,11609.749869292,3092.515815082,0.26637230344314,0.73362769655686,0,0,0.73362769655686,Basin127355,Basin127355,individual river,0.0,0.0,0.0,not defined,Pacific Ocean,not defined,137.25,-1.75,1.0,6192.0,6150.811177,2825.880084,0.459432098,2.0,,,,,,,,,,Asia,Asia,0.0,1.0,0,0.73362769655686,Calculated,0.26637230344314
1244.0,0.999999999999999,0,49,9417694.674479265,149129.816380674,0.015835065962034,0.984164934037966,0,0,0.984164934037966,Basin127356,Basin127356,individual river,0.0,0.0,0.0,not defined,Pacific Ocean,not defined,137.75,-1.75,3.0,80411.0,79875.95877,79698.0278,0.997772409,26.0,,,,,,,,,,Asia,Asia,0.0,1.0,0,0.984164934037966,Calculated,0.01583506596203399
1245.0,0.999999999999972,0,2,4322.215050483,4322.215050483,1.0,0.0,1,1,,Basin127357,Basin127357,individual river,0.0,0.0,0.0,not defined,Pacific Ocean,not defined,138.25,-1.75,1.0,3096.0,3075.861661,2157.791207,0.70152414,1.0,,,,,,,,,,Asia,Asia,0.0,1.0,0,0.75,Fixed (Size <= 4 Grids),0.25
1246.0,0.999999999999986,0,3,16128.72596059,1058.27321443,0.065614185337134,0.934385814662866,0,0,0.934385814662866,Basin127358,Basin127358,individual river,0.0,0.0,0.0,not defined,Pacific Ocean,not defined,138.75,-1.75,1.0,6192.0,6150.811177,3078.381133,0.500483765,2.0,,,,,,,,,,Asia,Asia,0.0,1.0,0,0.934385814662866,Calculated,0.06561418533713403
1247.0,0.999999999999943,0,2,47.95179207,47.95179207,1.0,0.0,1,1,,Basin127618,Basin127618,individual river,0.0,0.0,0.0,not defined,Pacific Ocean,not defined,-91.25,-1.25,1.0,3097.0,3076.545815,0.0,0.0,1.0,,,,,,,,,,South_America,Central and South America,0.0,1.0,0,0.75,Fixed (Size <= 4 Grids),0.25
1248.0,1.0,0,2,913.888678852,913.888678852,1.0,0.0,1,1,,Basin127639,Basin127639,individual river,0.0,0.0,0.0,not defined,Pacific Ocean,not defined,-80.75,-1.25,1.0,3097.0,3076.545815,1972.527511,0.641150053,1.0,,,,,,,,,,South_America,Central and South America,0.0,1.0,0,0.75,Fixed (Size <= 4 Grids),0.25
1249.0,1.0,0,37,1729425.13652641,397209.9591671,0.229677452222595,0.770322547777405,0,0,0.770322547777405,Basin127704,Basin127704,individual river,0.0,0.0,0.0,not defined,Atlantic Ocean,not defined,-48.25,-1.25,3.0,61854.0,61442.68206,60918.36432,0.991466555,20.0,,,,,,,,,,South_America,Central and South America,0.0,1.0,1,0.770322547777405,Calculated,0.22967745222259495
1250.0,1.0,0,17,683029.605696911,24011.964250591,0.035155085592653,0.964844914407347,0,0,0.964844914407347,Basin127708,Basin127708,individual river,0.0,0.0,0.0,not defined,Atlantic Ocean,not defined,-46.25,-1.25,2.0,40205.0,39938.3245,39629.44209,0.992266015,13.0,,,,,,,,,,South_America,Central and South America,0.0,1.0,0,0.964844914407347,Calculated,0.03515508559265301
1251.0,1.0,0,2,30548.50231918,10993.92987505,0.359884414632904,0.640115585367096,0,0,0.640115585367096,Basin127709,Basin127709,individual river,0.0,0.0,0.0,not defined,Atlantic Ocean,not defined,-45.75,-1.25,1.0,6193.0,6152.407475,4829.096631,0.784911703,2.0,,,,,,,,,,South_America,Central and South America,0.0,1.0,0,0.640115585367096,Calculated,0.359884414632904
1252.0,1.0,0,1,226.83311684,226.83311684,1.0,0.0,1,1,,Basin127710,Basin127710,individual river,0.0,0.0,0.0,not defined,Atlantic Ocean,not defined,-45.25,-1.25,1.0,3097.0,3076.545815,0.0,0.0,1.0,,,,,,,,,,South_America,Central and South America,0.0,1.0,0,0.75,Fixed (Size <= 4 Grids),0.25
1253.0,1.0,0,2,6179.014945824,3714.801464444,0.601196387614274,0.398803612385726,0,0,0.398803612385726,Basin127884,Basin127884,individual river,0.0,0.0,0.0,not defined,Indian Ocean,not defined,41.75,-1.25,1.0,6194.0,6153.091629,5218.508334,0.848111591,2.0,,,,,,,,,,Africa,Africa,0.0,1.0,0,0.398803612385726,Calculated,0.6011963876142741
1254.0,1.0,0,2,49940.277935000006,49940.277935000006,1.0,0.0,1,1,,Basin127998,Basin127998,individual river,0.0,0.0,0.0,not defined,Indian Ocean,not defined,98.75,-1.25,1.0,3097.0,3076.545815,2059.740867,0.669497869,1.0,,,,,,,,,,Asia,Asia,0.0,1.0,0,0.75,Fixed (Size <= 4 Grids),0.25
1255.0,0.999999999999886,0,2,6413.4008704,6413.4008704,1.0,0.0,1,1,,Basin127999,Basin127999,individual river,0.0,0.0,0.0,not defined,Indian Ocean,not defined,99.25,-1.25,1.0,3097.0,3076.545815,0.0,0.0,1.0,,,,,,,,,,Asia,Asia,0.0,1.0,0,0.75,Fixed (Size <= 4 Grids),0.25
1256.0,1.0,0,1,16129.078230395,16129.078230395,1.0,0.0,1,1,,Basin128001,Basin128001,individual river,0.0,0.0,0.0,not defined,Indian Ocean,not defined,100.25,-1.25,1.0,3097.0,3076.545815,0.0,0.0,1.0,,,,,,,,,,Asia,Asia,0.0,1.0,0,0.75,Fixed (Size <= 4 Grids),0.25
1257.0,1.0,0,1,229751.1026542,229751.1026542,1.0,0.0,1,1,,Basin128002,Basin128002,individual river,0.0,0.0,0.0,not defined,Indian Ocean,not defined,100.75,-1.25,1.0,3097.0,3076.545815,2921.794658,0.949699707,1.0,,,,,,,,,,Asia,Asia,0.0,1.0,0,0.75,Fixed (Size <= 4 Grids),0.25
1258.0,1.0,0,17,6932145.771698271,186063.883422541,0.026840734391677,0.973159265608323,0,0,0.973159265608323,Basin128009,Basin128009,individual river,0.0,0.0,0.0,not defined,Pacific Ocean,not defined,104.25,-1.25,2.0,43353.0,43063.43174,42576.12049,0.988683873,14.0,,,,,,,,,,Asia,Asia,0.0,1.0,0,0.973159265608323,Calculated,0.026840734391677
1259.0,1.0,0,1,453.7694963,453.7694963,1.0,0.0,1,1,,Basin128019,Basin128019,individual river,0.0,0.0,0.0,not defined,Pacific Ocean,not defined,109.25,-1.25,1.0,3097.0,3076.545815,0.0,0.0,1.0,,,,,,,,,,Asia,Asia,0.0,1.0,0,0.75,Fixed (Size <= 4 Grids),0.25
1260.0,1.0,0,3,123028.39759209,7463.67418229,0.060666271595574,0.939333728404426,0,0,0.939333728404426,Basin128020,Basin128020,individual river,0.0,0.0,0.0,not defined,Pacific Ocean,not defined,109.75,-1.25,1.0,6194.0,6153.091629,2908.340095,0.472663219,2.0,,,,,,,,,,Asia,Asia,0.0,1.0,0,0.939333728404426,Calculated,0.06066627159557403
1261.0,1.0,0,1,45668.1038353,45668.1038353,1.0,0.0,1,1,,Basin128034,Basin128034,individual river,0.0,0.0,0.0,not defined,Pacific Ocean,not defined,116.75,-1.25,1.0,3097.0,3076.545815,2053.392948,0.667434542,1.0,,,,,,,,,,Asia,Asia,0.0,1.0,0,0.75,Fixed (Size <= 4 Grids),0.25
1262.0,0.0,1,1,0.0,0.0,,,1,1,,Basin128035,Basin128035,individual river,0.0,0.0,0.0,not defined,Pacific Ocean,not defined,117.25,-1.25,1.0,3097.0,3076.545815,0.0,0.0,1.0,,,,,,,,,,Asia,Asia,1.0,1.0,0,0.75,Fixed (Size <= 4 Grids),0.25
1263.0,1.0,0,6,1592322.9111433,74098.6232652,0.046534922500108,0.953465077499892,0,0,0.953465077499892,Basin128039,Basin128039,individual river,0.0,0.0,0.0,not defined,Pacific Ocean,not defined,119.25,-1.25,2.0,15483.0,15379.76447,12316.92022,0.800852331,5.0,,,,,,,,,,Asia,Asia,0.0,1.0,0,0.953465077499892,Calculated,0.046534922500108045
1264.0,1.0,0,2,111996.09289877,25989.42784257,0.23205655813423,0.76794344186577,0,0,0.76794344186577,Basin128042,Basin128042,individual river,0.0,0.0,0.0,not defined,Pacific Ocean,not defined,120.75,-1.25,1.0,6193.0,6152.407475,4043.803573,0.657271741,2.0,,,,,,,,,,Asia,Asia,0.0,1.0,0,0.76794344186577,Calculated,0.23205655813422998
1265.0,1.0,0,1,96539.438724035,96539.438724035,1.0,0.0,1,1,,Basin128043,Basin128043,individual river,0.0,0.0,0.0,not defined,Pacific Ocean,not defined,121.25,-1.25,1.0,3097.0,3076.545815,1877.203114,0.610165825,1.0,,,,,,,,,,Asia,Asia,0.0,1.0,0,0.75,Fixed (Size <= 4 Grids),0.25
1266.0,1.0,0,1,344853.3730089,344853.3730089,1.0,0.0,1,1,,Basin128044,Basin128044,individual river,0.0,0.0,0.0,not defined,Pacific Ocean,not defined,121.75,-1.25,1.0,3097.0,3076.545815,3076.545737,0.999999975,1.0,,,,,,,,,,Asia,Asia,0.0,1.0,0,0.75,Fixed (Size <= 4 Grids),0.25
1267.0,1.0,0,1,40511.007745626,40511.007745626,1.0,0.0,1,1,,Basin128045,Basin128045,individual river,0.0,0.0,0.0,not defined,Pacific Ocean,not defined,122.25,-1.25,1.0,3097.0,3076.545815,2992.836141,0.97279102,1.0,,,,,,,,,,Asia,Asia,0.0,1.0,0,0.75,Fixed (Size <= 4 Grids),0.25
1268.0,1.0,0,2,10086.09841415,10086.09841415,1.0,0.0,1,1,,Basin128046,Basin128046,individual river,0.0,0.0,0.0,not defined,Pacific Ocean,not defined,122.75,-1.25,1.0,3097.0,3076.545815,1456.64804,0.473468665,1.0,,,,,,,,,,Asia,Asia,0.0,1.0,0,0.75,Fixed (Size <= 4 Grids),0.25
1269.0,0.999999999999886,0,2,5504.5770842,5504.5770842,1.0,0.0,1,1,,Basin128047,Basin128047,individual river,0.0,0.0,0.0,not defined,Pacific Ocean,not defined,123.25,-1.25,1.0,3097.0,3076.545815,1548.321216,0.503266101,1.0,,,,,,,,,,Asia,Asia,0.0,1.0,0,0.75,Fixed (Size <= 4 Grids),0.25
1270.0,1.0,0,2,4433.9855,4433.9855,1.0,0.0,1,1,,Basin128056,Basin128056,individual river,0.0,0.0,0.0,not defined,Pacific Ocean,not defined,127.75,-1.25,1.0,3097.0,3076.545815,0.0,0.0,1.0,,,,,,,,,,Asia,Asia,0.0,1.0,0,0.75,Fixed (Size <= 4 Grids),0.25
1271.0,1.0,0,1,2507.49017,2507.49017,1.0,0.0,1,1,,Basin128060,Basin128060,individual river,0.0,0.0,0.0,not defined,Pacific Ocean,not defined,129.75,-1.25,1.0,3097.0,3076.545815,0.0,0.0,1.0,,,,,,,,,,Asia,Asia,0.0,1.0,0,0.75,Fixed (Size <= 4 Grids),0.25
1272.0,1.0,0,1,17510.64476,17510.64476,1.0,0.0,1,1,,Basin128062,Basin128062,individual river,0.0,0.0,0.0,not defined,Pacific Ocean,not defined,130.75,-1.25,1.0,3097.0,3076.545815,0.0,0.0,1.0,,,,,,,,,,Asia,Asia,0.0,1.0,0,0.75,Fixed (Size <= 4 Grids),0.25
1273.0,1.0,0,2,58336.5335016,58336.5335016,1.0,0.0,1,1,,Basin128063,Basin128063,individual river,0.0,0.0,0.0,not defined,Pacific Ocean,not defined,131.25,-1.25,1.0,3097.0,3076.545815,2631.151102,0.855228968,1.0,,,,,,,,,,Asia,Asia,0.0,1.0,0,0.75,Fixed (Size <= 4 Grids),0.25
1274.0,1.0,0,2,283007.5729272,283007.5729272,1.0,0.0,1,1,,Basin128064,Basin128064,individual river,0.0,0.0,0.0,not defined,Pacific Ocean,not defined,131.75,-1.25,1.0,3097.0,3076.545815,3061.3801,0.995070538,1.0,,,,,,,,,,Asia,Asia,0.0,1.0,0,0.75,Fixed (Size <= 4 Grids),0.25
1275.0,1.0,0,1,23950.425116,23950.425116,1.0,0.0,1,1,,Basin128069,Basin128069,individual river,0.0,0.0,0.0,not defined,Pacific Ocean,not defined,134.25,-1.25,1.0,3097.0,3076.545815,0.0,0.0,1.0,,,,,,,,,,Asia,Asia,0.0,1.0,0,0.75,Fixed (Size <= 4 Grids),0.25
1276.0,1.0,0,1,375.3741729,375.3741729,1.0,0.0,1,1,,Basin128070,Basin128070,individual river,0.0,0.0,0.0,not defined,Pacific Ocean,not defined,134.75,-1.25,1.0,3097.0,3076.545815,0.0,0.0,1.0,,,,,,,,,,Asia,Asia,0.0,1.0,0,0.75,Fixed (Size <= 4 Grids),0.25
1277.0,1.0,0,2,480.0051232,480.0051232,1.0,0.0,1,1,,Basin128072,Basin128072,individual river,0.0,0.0,0.0,not defined,Pacific Ocean,not defined,135.75,-1.25,1.0,3097.0,3076.545815,0.0,0.0,1.0,,,,,,,,,,Asia,Asia,0.0,1.0,0,0.75,Fixed (Size <= 4 Grids),0.25
1278.0,0.999999999999886,0,2,3202.7292272,3202.7292272,1.0,0.0,1,1,,Basin128073,Basin128073,individual river,0.0,0.0,0.0,not defined,Pacific Ocean,not defined,136.25,-1.25,1.0,3097.0,3076.545815,0.0,0.0,1.0,,,,,,,,,,Asia,Asia,0.0,1.0,0,0.75,Fixed (Size <= 4 Grids),0.25
1280.0,0.999999999999943,0,2,2229.99804828,2229.99804828,1.0,0.0,1,1,,Basin128338,Basin128338,individual river,0.0,0.0,0.0,not defined,Pacific Ocean,not defined,-91.25,-0.75,1.0,3097.0,3077.001939,1939.795874,0.630417501,1.0,,,,,,,,,,South_America,Central and South America,0.0,1.0,0,0.75,Fixed (Size <= 4 Grids),0.25
1281.0,1.0,0,3,626.95033783,626.95033783,1.0,0.0,1,1,,Basin128339,Basin128339,individual river,0.0,0.0,0.0,not defined,Pacific Ocean,not defined,-90.75,-0.75,1.0,3097.0,3077.001939,0.0,0.0,1.0,,,,,,,,,,South_America,Central and South America,0.0,1.0,0,0.75,Fixed (Size <= 4 Grids),0.25
1282.0,0.999999999999943,0,2,1895.73731768,1895.73731768,1.0,0.0,1,1,,Basin128340,Basin128340,individual river,0.0,0.0,0.0,not defined,Pacific Ocean,not defined,-90.25,-0.75,1.0,3097.0,3077.001939,0.0,0.0,1.0,,,,,,,,,,South_America,Central and South America,0.0,1.0,0,0.75,Fixed (Size <= 4 Grids),0.25
1283.0,5.7e-14,1,2,0.0,0.0,,,1,1,,Basin128341,Basin128341,individual river,0.0,0.0,0.0,not defined,Pacific Ocean,not defined,-89.75,-0.75,1.0,3097.0,3077.001939,0.0,0.0,1.0,,,,,,,,,,South_America,Central and South America,1.0,1.0,0,0.75,Fixed (Size <= 4 Grids),0.25
1284.0,1.0,0,2,179473.5145636,318.6459924,0.001775448556712,0.998224551443288,0,0,0.998224551443288,Basin128359,Basin128359,individual river,0.0,0.0,0.0,not defined,Pacific Ocean,not defined,-80.75,-0.75,1.0,6195.0,6154.003878,2939.046668,0.477582843,2.0,,,,,,,,,,South_America,Central and South America,0.0,1.0,0,0.998224551443288,Calculated,0.001775448556711967
1285.0,1.0,0,4,13752.70656947,5255.28188138,0.382127100206322,0.617872899793678,0,0,0.617872899793678,Basin128423,Basin128423,individual river,0.0,0.0,0.0,not defined,Atlantic Ocean,not defined,-48.75,-0.75,1.0,6195.0,6154.003878,5939.526166,0.965148265,2.0,,,,,,,,,,South_America,Central and South America,0.0,1.0,0,0.617872899793678,Calculated,0.382127100206322
1286.0,1.0,0,2,853.19166743,853.19166743,1.0,0.0,1,1,,Basin128424,Basin128424,individual river,0.0,0.0,0.0,not defined,Atlantic Ocean,not defined,-48.25,-0.75,1.0,3097.0,3077.001939,0.0,0.0,1.0,,,,,,,,,,South_America,Central and South America,0.0,1.0,0,0.75,Fixed (Size <= 4 Grids),0.25
1287.0,1.0,0,4,26072.006172518,5851.108449598,0.224421105567455,0.775578894432545,0,0,0.775578894432545,Basin128425,Basin128425,individual river,0.0,0.0,0.0,not defined,Atlantic Ocean,not defined,-47.75,-0.75,1.0,6195.0,6153.547754,5436.416207,0.883460473,2.0,,,,,,,,,,South_America,Central and South America,0.0,1.0,0,0.775578894432545,Calculated,0.22442110556745498
1288.0,1.0,0,4,28322.13063933,9106.52992303,0.321534069558456,0.678465930441544,0,0,0.678465930441544,Basin128426,Basin128426,individual river,0.0,0.0,0.0,not defined,Atlantic Ocean,not defined,-47.25,-0.75,1.0,6195.0,6153.547754,5080.904526,0.825687023,2.0,,,,,,,,,,South_America,Central and South America,0.0,1.0,0,0.678465930441544,Calculated,0.321534069558456
1289.0,1.0,0,2,19751.097340482,921.070468312,0.046633888357391,0.953366111642609,0,0,0.953366111642609,Basin128427,Basin128427,individual river,0.0,0.0,0.0,not defined,Atlantic Ocean,not defined,-46.75,-0.75,1.0,6195.0,6153.547754,3079.946905,0.500515642,2.0,,,,,,,,,,South_America,Central and South America,0.0,1.0,0,0.953366111642609,Calculated,0.04663388835739102
