subbasn,data_cov,mask_v1,grid_cells,gen_flux,out_flux,ratio,retention,mask_v2,mask_final,ret_valid,name,river,categry,mouth,ddm30_d,stn30_d,contnnt,sea,seabasn,lon,lat,strahlr,area,ar_sqkm,land_ar,arlndfr,grd_cll,sbbsn_c,t_sbbsn_d,t_sbbsn_c,A_juC1,A_jmT1,A_jmT3,A_jmC1,A_jmC2,A_jdC1,wrld_rg,wrld_r_,mask,to_sea,mask_pnv,ret_final,method,ratio_final
14.0,0.999999999999999,0,42,82561.380734596,2123.48961577,0.025720132062668,0.974279867937332,0,0,0.974279867937332,Amgerman,Amgerman,individual river,1.0,317.0,425.0,Europe,Atlantic Ocean,Atlantic Ocean,17.75,62.75,2.0,33571.0,33712.73521,31963.23095,0.948105538,25.0,,,,,,,,,,Europe,Europe,0.0,1.0,0,0.974279867937332,Calculated,0.02572013206266799
15.0,1.0,0,306,538542190.9515523,11030169.9751214,0.020481533592813,0.979518466407187,0,0,0.979518466407187,Songhua_subbasin,Amur,tributary,0.0,9.0,12.0,Asia,Pacific Ocean,Okhotsk Sea (West),132.25,47.25,4.0,560523.0,560729.7032,560145.3704,0.998957906,264.0,juT1,18.0,jmC,0.0,0.0,0.0,0.205437,0.0,0.111427,Asia,Asia,0.0,1.0,0,0.979518466407187,Calculated,0.020481533592813017
16.0,1.0,0,235,68700074.21824737,352036.604579226,0.005124253628328,0.994875746371672,0,0,0.994875746371672,Downstream_subbasin,Amur,main channel,1.0,9.0,12.0,Asia,Pacific Ocean,Okhotsk Sea (West),140.75,53.25,5.0,422397.0,422747.9493,411817.0755,0.974143284,207.0,jdC,,,0.0,0.0,0.0,0.0,0.0,0.0,Asia,Asia,0.0,1.0,0,0.994875746371672,Calculated,0.005124253628328024
17.0,1.0,0,246,21496556.94057598,1107502.63340683,0.051520000922397,0.948479999077603,0,0,0.948479999077603,Argun_subbasin,Amur,tributary,0.0,9.0,12.0,Asia,Pacific Ocean,Okhotsk Sea (West),124.25,53.25,4.0,421605.0,422218.7863,422218.7854,0.999999998,218.0,juT3,18.0,jmC,0.0,0.0,0.0,0.200269,0.0,0.111427,Asia,Asia,0.0,1.0,0,0.948479999077603,Calculated,0.05152000092239695
18.0,1.0,0,146,170561534.2491362,17995525.2477399,0.105507524465945,0.894492475534055,0,0,0.894492475534055,Middlestream_stem_subbasi,Amur,main channel,0.0,9.0,12.0,Asia,Pacific Ocean,Okhotsk Sea (West),133.25,48.25,5.0,238695.0,238993.4513,238343.0398,0.997278538,121.0,jmC,16.0,jdC,0.0,0.0,0.0,0.0,0.0,0.111427,Asia,Asia,0.0,1.0,0,0.894492475534055,Calculated,0.10550752446594502
19.0,1.0,0,147,3827103.78577006,257184.95452943,0.067200935466055,0.932799064533945,0,0,0.932799064533945,Zeya_subbasin,Amur,tributary,0.0,9.0,12.0,Asia,Pacific Ocean,Okhotsk Sea (West),127.75,50.75,4.0,228652.0,229095.9113,226668.1072,0.989402674,124.0,juT2,18.0,jmC,0.0,0.0,0.0,0.128383,0.0,0.111427,Asia,Asia,0.0,1.0,0,0.932799064533945,Calculated,0.06720093546605499
20.0,1.0,0,135,164640.522911664,432.69147283,0.002628098266319,0.997371901733681,0,0,0.997371901733681,Anabar,Anabar,individual river,1.0,82.0,166.0,Asia,Arctic Ocean,Laptev Sea,113.25,73.25,3.0,104666.0,105218.8292,104685.6388,0.994932557,103.0,,,,,,,,,,Asia,Asia,0.0,1.0,0,0.997371901733681,Calculated,0.0026280982663190455
21.0,1.0,0,176,2400724.718890323,17043.88555215,0.00709947517849,0.99290052482151,0,0,0.99290052482151,Anadyr,Anadyr,individual river,1.0,64.0,87.0,Asia,Pacific Ocean,Anadyr Gulf (Bering Strait),176.25,64.75,4.0,187787.0,188619.4268,187077.2831,0.991824046,147.0,,,,,,,,,,Asia,Asia,0.0,1.0,0,0.99290052482151,Calculated,0.007099475178489967
22.0,0.016949152542373,1,354,0.0,0.0,,,1,1,,Araye,Araye,individual river,1.0,33.0,41.0,Africa,Mediterranean Sea,South Ionian Sea,19.75,30.25,5.0,822168.0,818732.4054,818732.3871,0.999999978,295.0,,,,,,,,,,Africa,Africa,1.0,1.0,1,0.99,Size Mean (Size 354),0.010000000000000009
23.0,1.0,0,277,279554.72991225,231.78422992,0.000829119328415,0.999170880671585,0,0,0.999170880671585,Baker,Baker,main channel,1.0,49.0,69.0,North America,Arctic Ocean,West Hudson Bay,-91.25,63.75,4.0,290586.0,291740.9869,254085.4286,0.870928118,208.0,jdC,,,0.0,0.0,0.0,0.0,0.0,0.0,North_America,North America,0.0,1.0,0,0.999170880671585,Calculated,0.0008291193284150067
24.0,0.999999999999998,0,65,48966417.23379855,15246.03807,0.000311357026535,0.999688642973465,0,0,0.999688642973465,Balsas,Balsas,individual river,1.0,188.0,139.0,North America,Pacific Ocean,Tehuantepec Basin,-102.25,17.75,3.0,117500.0,116871.0006,113815.8431,0.97385872,40.0,,,,,,,,,,North_America,North America,0.0,1.0,0,0.999688642973465,Calculated,0.000311357026534953
25.0,0.999999999999998,0,43,23734118.384924237,97842.041524126,0.004122421567859,0.995877578432141,0,0,0.995877578432141,Bandama,Bandama,individual river,1.0,218.0,161.0,Africa,Atlantic Ocean,Guinea Basin,-4.75,5.25,3.0,107382.0,106690.3777,105173.3638,0.985781155,35.0,,,,,,,,,,Africa,Africa,0.0,1.0,1,0.995877578432141,Calculated,0.004122421567859025
26.0,1.0,0,35,54644839.85149845,1391803.105134358,0.025469982324346,0.974530017675655,0,0,0.974530017675655,Brahmani,Brahmani,individual river,1.0,411.0,285.0,Asia,Indian Ocean,Deccan Coast (East),86.75,20.75,3.0,54646.0,54380.45474,53690.08496,0.987304818,19.0,,,,,,,,,,Asia,Asia,0.0,1.0,0,0.974530017675655,Calculated,0.025469982324345053
