Model_Key,Model,Mean,Std,Median,Q1,Q3,IQR
Baseline,Baseline,2.9571163277418595,0.848374621476314,2.356697238690468,1.6109972594808544,2.9050266645916683,1.2940294051108139
Cluster3,CT3,2.8766401518590468,0.8010630378828798,2.283714214794533,1.6761606909772795,2.820851245055267,1.1446905540779875
Cluster5,CT5,2.951064077273661,0.808144847695307,2.508190067104833,1.7835958718970322,2.944443624621516,1.1608477527244838
Cluster7,CT7,3.08922033909064,0.8764868132142434,2.377671193864838,1.722393023034062,2.967316689381573,1.244923666347511
Jin5,Jin5,3.1128553663875924,0.9821462561824008,2.3593954396787664,1.4699560133332592,3.0770298228997595,1.6070738095665003
SHAP5,SHAP5,3.0143004059308445,0.9665140405238333,2.127768138389477,1.2877440760530539,2.808053113172903,1.5203090371198493
