Unique_ID,Std_Value_m3,Gear_Category,Natural Discharge Upstream,Land Surface Runoff Local,Lake Volume Upstream,Reservoir Volume Upstream,River Area Local,River Area Upstream,River Volume Local,River Volume Upstream,Elevation Local,Elevation Upstream,Terrain Slope Local,Terrain Slope Upstream,Stream Gradient Local,Temperature Local,Temperature Upstream,Precipitation Local,Precipitation Upstream,Potential Evap Local,Potential Evap Upstream,Actual Evap Local,Actual Evap Upstream,Cropland Extent Local,Cropland Extent Upstream,Pasture Extent Local,Pasture Extent Upstream,Wetland All Local,Wetland All Upstream,Wetland Land Local,Wetland Land Upstream,Population Local,Population Upstream,Urban Extent Local,Urban Extent Upstream,Road Density Local,Road Density Upstream,Human Footprint Local,Human Footprint Upstream,Human Dev Index Local,HYBAS_ID
REC_03980,0.826,Nets,16.739,410.0,4000000.0,0.0,134840.0,2067130.0,133629.0,937013.0,141.0,363.0,0.4,6.7,1.1,10.200000000000001,9.0,651.0,759.0,825.0,777.0,552.0,577.0,15.0,24.0,2.0,5.0,0.0,0.0,0.0,0.0,82976.0,358941.0,100.0,19.0,5345.0,1755.0,43.300000000000004,22.400000000000002,0.926,2120465340.0
REC_03981,0.82,Nets,1.593,337.0,0.0,0.0,149500.0,149500.0,30274.0,30274.0,364.0,364.0,2.8000000000000003,2.8000000000000003,0.7000000000000001,13.9,13.9,687.0,687.0,973.0,973.0,579.0,579.0,44.0,44.0,23.0,23.0,44.0,44.0,0.0,0.0,9780.0,9780.0,0.0,0.0,697.0,697.0,11.700000000000001,11.700000000000001,0.905,2120592820.0
REC_03982,0.82,Nets,4.155,370.0,0.0,0.0,302960.0,302960.0,49148.0,49148.0,4.0,3.0,0.0,0.1,0.7000000000000001,15.3,15.3,1068.0,1066.0,970.0,972.0,901.0,900.0,47.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,600501.0,600501.0,51.0,46.0,3667.0,3954.0,31.1,31.8,0.794,4120009760.0
REC_03983,0.81,Nets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REC_03984,0.804,Nets,3.503,322.0,0.0,0.0,145010.0,359410.0,56137.0,97059.0,1163.0,1168.0,2.9000000000000004,3.1,0.7000000000000001,21.6,21.5,1368.0,1376.0,1567.0,1577.0,1158.0,1165.0,14.0,25.0,7.0,9.0,35.0,34.0,7.0,24.0,341837.0,1051774.0,69.0,59.0,2397.0,2048.0,18.900000000000002,21.200000000000003,0.493,1121139160.0
REC_03985,0.803,Nets,52.298,650.0,138000000.0,138000000.0,940210.0,6674740.0,1237784.0,4320979.0,857.0,1232.0,25.8,23.3,45.5,13.600000000000001,11.5,1100.0,1143.0,1026.0,948.0,870.0,854.0,14.0,10.0,4.0,3.0,0.0,0.0,0.0,0.0,26817.0,204533.0,4.0,1.0,164.0,144.0,10.8,9.200000000000001,0.739,4120736110.0
REC_03986,0.8,Nets,0.0,5.0,0.0,0.0,14200.0,14200.0,1517.0,1517.0,419.0,419.0,3.3000000000000003,3.3000000000000003,4.5,10.600000000000001,10.600000000000001,152.0,152.0,1007.0,1007.0,141.0,141.0,0.0,0.0,65.0,65.0,0.0,0.0,0.0,0.0,122.0,122.0,0.0,0.0,116.0,116.0,3.3000000000000003,3.3000000000000003,0.8320000000000001,6121353750.0
REC_03989,0.8,Nets,182.079,1483.0,2671000000.0,120000000.0,1343730.0,15926070.0,2790740.0,14306950.0,28.0,164.0,0.9,4.5,2.4000000000000004,27.1,26.3,2207.0,2437.0,1532.0,1505.0,1130.0,1256.0,14.0,28.0,0.0,0.0,14.0,23.0,14.0,0.0,3423587.0,11653566.0,100.0,42.0,14744.0,3982.0,38.1,20.1,0.961,5120029360.0
REC_03990,0.8,Nets,3.462,306.0,3000000.0,0.0,359060.0,641640.0,161993.0,245546.0,234.0,243.0,0.6000000000000001,0.6000000000000001,2.2,10.700000000000001,10.700000000000001,958.0,955.0,1084.0,1079.0,806.0,803.0,78.0,81.0,2.0,2.0,0.0,0.0,0.0,0.0,20536.0,25088.0,8.0,4.0,1717.0,1209.0,20.8,18.6,0.9500000000000001,7120533840.0
REC_03991,0.8,Nets,4.324,759.0,0.0,0.0,275150.0,275150.0,59026.0,59026.0,60.0,16.0,3.7,1.8,4.9,15.0,15.200000000000001,1289.0,1279.0,975.0,982.0,831.0,832.0,0.0,0.0,46.0,47.0,13.0,59.0,0.0,0.0,414142.0,414142.0,73.0,67.0,5292.0,6230.0,32.5,32.800000000000004,0.915,5120086380.0
REC_03992,0.8,Nets,3.738,993.0,0.0,0.0,101400.0,101400.0,15391.0,15391.0,117.0,80.0,9.8,9.600000000000001,11.0,12.700000000000001,12.8,1283.0,1209.0,874.0,875.0,775.0,764.0,0.0,0.0,20.0,26.0,0.0,0.0,0.0,0.0,32180.0,32180.0,18.0,14.0,1432.0,1319.0,22.5,17.900000000000002,0.915,5120085120.0
REC_03993,0.8,Nets,22722.322,1002.0,171649000000.0,137920000000.0,28269110.0,7538773130.0,366982438.0,35026212000.0,21.0,1871.0,0.8,14.200000000000001,0.5,17.3,10.600000000000001,1440.0,982.0,1122.0,982.0,1035.0,769.0,36.0,19.0,8.0,33.0,51.0,3.0,21.0,2.0,245568.0,299297375.0,54.0,5.0,2157.0,221.0,24.900000000000002,11.3,0.714,4120773130.0
REC_03994,0.792,Nets,16.739,410.0,4000000.0,0.0,134840.0,2067130.0,133629.0,937013.0,141.0,363.0,0.4,6.7,1.1,10.200000000000001,9.0,651.0,759.0,825.0,777.0,552.0,577.0,15.0,24.0,2.0,5.0,0.0,0.0,0.0,0.0,82976.0,358941.0,100.0,19.0,5345.0,1755.0,43.300000000000004,22.400000000000002,0.926,2120465340.0
REC_03996,0.786,Nets,146.713,685.0,1135000000.0,440000000.0,456860.0,20876580.0,672360.0,17404861.0,290.0,426.0,1.5,1.0,12.700000000000001,4.1000000000000005,3.3000000000000003,733.0,720.0,767.0,799.0,610.0,603.0,8.0,4.0,1.0,1.0,46.0,50.0,33.0,48.0,49271.0,164980.0,46.0,1.0,5237.0,310.0,35.300000000000004,7.2,0.9490000000000001,7120996580.0
REC_03997,0.771,Nets,1.018,212.0,0.0,0.0,192530.0,192530.0,48386.0,48386.0,251.0,251.0,1.3,1.3,2.4000000000000004,6.300000000000001,6.300000000000001,856.0,856.0,855.0,855.0,623.0,623.0,40.0,40.0,8.0,8.0,50.0,50.0,30.0,30.0,111191.0,111191.0,40.0,40.0,971.0,970.0,33.9,33.9,0.926,7121022900.0
REC_03998,0.77,Nets,17.802,235.0,56000000.0,0.0,295900.0,3605320.0,211677.0,1729206.0,187.0,268.0,0.5,1.2000000000000002,1.1,8.3,7.6000000000000005,814.0,811.0,869.0,887.0,679.0,680.0,0.0,28.0,0.0,2.0,64.0,50.0,6.0,46.0,141078.0,1003512.0,42.0,25.0,9752.0,3058.0,18.8,25.900000000000002,0.9450000000000001,7121038960.0
REC_03999,0.76,Nets,9.545,1061.0,0.0,0.0,503330.0,814830.0,302384.0,415548.0,31.0,39.0,0.8,1.0,2.1,26.700000000000003,26.700000000000003,1778.0,1787.0,1661.0,1660.0,1150.0,1148.0,73.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,259452.99999999997,398830.0,91.0,72.0,356.0,274.0,29.8,26.3,0.661,5120670530.0
REC_04001,0.751,Nets,296.656,214.0,6868000000.0,1170000000.0,2257580.0,137876040.0,8769559.0,209933625.0,124.0,203.0,0.7000000000000001,1.1,1.0,4.5,4.0,620.0,635.0,631.0,629.0,477.0,484.0,30.0,21.0,11.0,11.0,17.0,4.0,0.0,2.0,29488.0,1028223.9999999999,31.0,1.0,156.0,89.0,25.200000000000003,8.5,0.775,2120281490.0
REC_04002,0.75,Nets,338.577,474.0,13720000000.0,0.0,2742029.9999999995,123230840.0,8109010.0,173362078.0,1153.0,1537.0,1.5,7.5,0.5,20.900000000000002,19.6,1497.0,1104.0,1596.0,1554.0,1144.0,911.0,14.0,27.0,30.0,25.0,77.0,9.0,59.0,7.0,11889.0,16707088.0,2.0,11.0,47.0,615.0,8.200000000000001,10.9,0.499,1121164950.0
REC_04003,0.74,Nets,72.404,1732.0,305000000.0,305000000.0,903710.0,4722170.0,1282086.0,4234402.0,23.0,469.0,1.7000000000000002,10.0,1.5,26.400000000000002,24.0,2808.0,2704.0,1587.0,1515.0,1231.0,1257.0,52.0,46.0,3.0,3.0,1.0,0.0,0.0,0.0,305542.0,613536.0,48.0,7.0,3288.0,592.0,26.1,15.5,0.6970000000000001,5120031380.0
REC_04005,0.72,Nets,77.284,238.0,4351000000.0,0.0,1239350.0,24219020.0,2525213.0,21026566.0,228.0,239.0,1.4000000000000001,1.1,3.9000000000000004,3.9000000000000004,3.7,643.0,654.0,629.0,624.0,487.0,485.0,18.0,6.0,14.0,3.0,0.0,4.0,0.0,0.0,630.0,52030.0,0.0,0.0,69.0,86.0,6.2,4.5,0.766,2120286990.0
REC_04006,0.719,Nets,8102.753,7.0,229021000000.0,195450000000.0,8161420.000000001,6404404380.0,87082188.0,27778812000.0,-23.0,179.0,0.30000000000000004,1.8,0.5,10.0,3.4000000000000004,217.0,579.0,990.0,660.0,195.0,448.0,2.0,31.0,24.0,12.0,90.0,3.0,75.0,1.0,95439.0,59759125.0,43.0,2.0,194.0,110.0,24.6,9.3,0.78,2121173350.0
REC_04009,0.71,Nets,8206.306,93.0,197178000000.0,163950000000.0,10422340.0,5688858750.0,115679242.0,20292008000.0,101.0,185.0,2.6,1.8,6.800000000000001,6.4,3.2,430.0,589.0,807.0,650.0,370.0,454.0,18.0,31.0,9.0,11.0,18.0,3.0,0.0,1.0,328692.0,57970703.0,58.0,2.0,198.0,110.0,33.7,9.3,0.792,2120393230.0
REC_04010,0.71,Nets,1589.403,421.0,140551000000.0,19405000000.0,2569289.9999999995,418710199.99999994,14249010.0,733618750.0,67.0,320.0,1.1,3.2,3.2,5.9,2.9000000000000004,872.0,915.0,806.0,757.0,614.0,601.0,9.0,3.0,4.0,2.0,34.0,13.0,24.0,5.0,77261.0,1288587.0,63.0,0.0,6799.0,94.0,38.400000000000006,2.9000000000000004,0.921,7120399930.0
REC_04013,0.7,Nets,169.618,216.0,5423000000.0,0.0,1930940.0,72667420.0,5935893.0,100024000.0,148.0,226.0,1.5,1.1,1.6,4.2,3.9000000000000004,615.0,644.0,632.0,630.0,482.0,487.0,9.0,18.0,7.0,9.0,0.0,2.0,0.0,0.0,1358.0,235560.0,0.0,0.0,47.0,94.0,11.8,7.300000000000001,0.766,2120280390.0
REC_04014,0.7,Nets,5.196,776.0,0.0,0.0,240780.0,240780.0,44614.0,44614.0,31.0,13.0,1.8,1.7000000000000002,3.6,15.100000000000001,15.200000000000001,1269.0,1239.0,991.0,989.0,837.0,828.0,5.0,4.0,25.0,16.0,10.0,34.0,0.0,0.0,273286.0,273286.0,64.0,43.0,4353.0,3247.0,31.0,28.5,0.915,5120085860.0
REC_04015,0.7,Nets,5.654,988.0,55000000.0,0.0,320319.99999999994,320319.99999999994,88353.0,88353.0,156.0,156.0,9.700000000000001,9.700000000000001,10.8,12.600000000000001,12.600000000000001,1405.0,1405.0,854.0,854.0,776.0,776.0,0.0,0.0,30.0,30.0,3.0,3.0,0.0,0.0,77989.0,77989.0,32.0,32.0,2155.0,2154.0,26.700000000000003,26.700000000000003,0.915,5120085110.0
REC_04016,0.7,Nets,1.308,430.0,0.0,0.0,139650.0,139650.0,35107.0,35107.0,17.0,17.0,0.2,0.2,1.2000000000000002,11.8,11.8,609.0,609.0,908.0,908.0,524.0,524.0,0.0,0.0,19.0,19.0,0.0,0.0,0.0,0.0,170888.0,170888.0,78.0,78.0,5662.0,5661.0,37.1,37.1,0.915,5120084190.0
REC_04019,0.695,Nets,2807.092,181.0,63403000000.0,43440000000.0,5808550.0,1705263910.0,42770383.0,3831463750.0,80.0,162.0,1.1,1.2000000000000002,0.4,4.4,4.1000000000000005,593.0,611.0,626.0,639.0,456.0,470.0,31.0,27.0,14.0,11.0,25.0,4.0,10.0,2.0,48841.0,32125574.0,56.0,2.0,254.0,129.0,31.900000000000002,9.8,0.788,2120289860.0
REC_04020,0.689,Nets,3.503,322.0,0.0,0.0,145010.0,359410.0,56137.0,97059.0,1163.0,1168.0,2.9000000000000004,3.1,0.7000000000000001,21.6,21.5,1368.0,1376.0,1567.0,1577.0,1158.0,1165.0,14.0,25.0,7.0,9.0,35.0,34.0,7.0,24.0,341837.0,1051774.0,69.0,59.0,2397.0,2048.0,18.900000000000002,21.200000000000003,0.493,1121139160.0
REC_04021,0.688,Nets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REC_04022,0.684,Nets,9973.502,494.0,45469000000.0,41761000000.0,16414260.0,4233711560.0,197918922.0,14422881000.0,50.0,748.0,0.1,5.5,0.5,25.900000000000002,22.400000000000002,952.0,1026.0,1575.0,1582.0,763.0,733.0,78.0,54.0,0.0,4.0,76.0,4.0,66.0,3.0,437675.0,369703938.0,41.0,7.0,556.0,352.0,22.5,16.8,0.498,4121495040.0
