ID,Author,Year,Title,Journal,Volume,Pages,DOI,Keywords,Abstract,Note
RN29441,"Wang, G. and Lu, J. and Tong, Y. and Liu, Z. and Zhou, H. and Xiayihazi, N.",2020,"Occurrence and pollution characteristics of microplastics in surface water of the Manas River Basin, China",Sci Total Environ,710,136099,10.1016/j.scitotenv.2019.136099,Fourier transform infrared spectroscopy Freshwater system Inland river Microplastics Polymer,"Microplastics, as a new type of pollutant, are widely found in various environmental media, and their effects on organisms are of great concern to society. However, research on the characteristics of microplastic pollution in inland rivers in China is still rare. The Manas River, which is located in the interior of Northeast China, was selected as the research object. The occurrence and pollution characteristics of microplastics in the surface water of the river were explored. The range of abundance of microplastics in the Manas River Basin was 21 +/- 3-49 +/- 3 items/L. Fibrous microplastics were dominant in all sites (88.0%); their size was mainly distributed between 0.1 and 1.0 mm (82.6%), and white and black were the dominant colours (82.9%). In addition, the size range of flaky-type microplastics were investigated in this study, which was principally between 2.5 x 10(3)-9.0 x 10(4) mum(2) (84.5%). Infrared spectral analysis revealed that most of the selected particles were identified as microplastics, and polymer types of microplastics were dominated by polypropylene and polyethylene terephthalate (48.3%). This study can be used as a reference to better understand the contamination features of microplastics in inland rivers.","Wang, Gaoliang Lu, Jianjiang Tong, Yanbin Liu, Zilong Zhou, Hongjuan Xiayihazi, Nuerguli eng Netherlands 2020/01/11 Sci Total Environ. 2020 Mar 25;710:136099. doi: 10.1016/j.scitotenv.2019.136099. Epub 2019 Dec 12."
RN29230,"Wang, J. and Peng, J. and Tan, Z. and Gao, Y. and Zhan, Z. and Chen, Q. and Cai, L.",2017,"Microplastics in the surface sediments from the Beijiang River littoral zone: Composition, abundance, surface textures and interaction with heavy metals",Chemosphere,171,248–258,10.1016/j.chemosphere.2016.12.074,"China Environmental Monitoring Geologic Sediments/*chemistry Metals, Heavy/*metabolism Plastics/*chemistry Rivers/*chemistry Water Pollutants, Chemical/*chemistry/*metabolism Beijiang River Icp-ms Microplastics Sem/eds Sediments mu-FTIR","While large quantities of studies on microplastics in the marine environment have been widely carried out, few were available in the freshwater environment. The occurrence and characteristics, including composition, abundance, surface texture and interaction with heavy metals, of microplastics in the surface sediments from Beijiang River littoral zone were investigated. The concentrations of microplastics ranged from 178 +/- 69 to 544 +/- 107 items/kg sediment. SEM images illustrated that pits, fractures, flakes and adhering particles were the common patterns of degradation. Chemical weathering of microplastics was also observed and confirmed by mu-FTIR. EDS spectra displayed difference in the elemental types of metals on the different surface sites of individual microplastic, indicating that some metals carried by microplastics were not inherent but were derived from the environment. The content of metals (Ni, Cd, Pb, Cu, Zn and Ti) in microplastics after ultrasonic cleaning has been analyzed by ICP-MS. Based on data from the long-term sorption of metals by microplastics and a comparison of metal burden between microplastics, macroplastics and fresh plastic products, we suggested that the majority of heavy metals carried by microplastics were derived from inherent load.","Wang, Jundong Peng, Jinping Tan, Zhi Gao, Yifan Zhan, Zhiwei Chen, Qiuqiang Cai, Liqi eng England 2016/12/27 Chemosphere. 2017 Mar;171:248-258. doi: 10.1016/j.chemosphere.2016.12.074. Epub 2016 Dec 18."
RN29405,"Wang, W. and Ndungu, A. W. and Li, Z. and Wang, J.",2017,"Microplastics pollution in inland freshwaters of China: A case study in urban surface waters of Wuhan, China",Sci Total Environ,575,1369–1374,10.1016/j.scitotenv.2016.09.213,Microplastics Pollution Urban surface waters Wuhan,"Microplastics have been considered as an emerging pollutant in the aquatic environment. However, research about microplastic pollution in inland freshwaters of China is insufficient. The present study investigated the levels of microplastics in surface water of 20 urban lakes and urban reaches of the Hanjiang River and Yangtze River of Wuhan, the largest city in central China. Microplastic concentrations ranged from 1660.0+/-639.1 to 8925+/-1591n/m(3) for the studied waters, with the highest concentration found in Bei Lake. Microplastic abundance in lakes varied markedly in space, and negatively correlated with the distance from the city center (p<0.001), which confirmed the important role of anthropogenic factors in microplastic distribution. Urban reaches of the Hanjiang River and Yangtze River were found to have relatively lower levels of microplastics than most of the studied lakes. The major type of microplastics among the studied waters was colored plastic, with fiber being the most frequent shape. More than 80% of microplastics in number had a size of <2mm. Polyethylene terephthalate and polypropylene were the dominant polymer-types of microplastics analyzed. This study provided important reference for better understanding microplastic levels in inland freshwaters.","Wang, Wenfeng Ndungu, Anne Wairimu Li, Zhen Wang, Jun eng Netherlands 2016/10/04 Sci Total Environ. 2017 Jan 1;575:1369-1374. doi: 10.1016/j.scitotenv.2016.09.213. Epub 2016 Sep 29."
RN29415,"Wang, W. and Yuan, W. and Chen, Y. and Wang, J.",2018,"Microplastics in surface waters of Dongting Lake and Hong Lake, China",Sci Total Environ,633,539–545,10.1016/j.scitotenv.2018.03.211,Abundance Chemical component Inland freshwater Microplastics Morphological property,"Microplastics pollution is an environmental issue of increasing concern. Much work has been done on the microplastics pollution in the marine environments. Although freshwaters are potential sources and transport pathways of plastic debris to the oceans, there is a lack of knowledge regarding the presence of microplastics in freshwater systems, especially in China, the world's largest producer of plastics. This study investigated the occurrence and properties of microplastics in surface waters of two important lakes in the middle reaches of the Yangtze River. The concentration ranges of microplastics in Dongting Lake and Hong Lake were 900-2800 and 1250-4650n/m(3), respectively. Fiber was the dominant shape. Colored items occupied the majority. Particles with a size of <330mum comprised >20% of total microplastics collected in both lakes. Most of the selected particles were identified as plastics, with polyethylene (PE) and polypropylene (PP) being the major components. This study can provide valuable reference for better understanding the microplastics pollution in inland freshwater ecosystems.","Wang, Wenfeng Yuan, Wenke Chen, Yuling Wang, Jun eng Netherlands 2018/03/27 Sci Total Environ. 2018 Aug 15;633:539-545. doi: 10.1016/j.scitotenv.2018.03.211. Epub 2018 Mar 28."
RN29185,"Wang, Zhichao and Qin, Yiming and Li, Weiping and Yang, Wenhuan and Meng, Qing and Yang, Jianlin",2019,"Microplastic contamination in freshwater: first observation in Lake Ulansuhai, Yellow River Basin, China",Environmental Chemistry Letters,17,1821–1830,10.1007/s10311-019-00888-8,,,
RN29377,"Weideman, E. A. and Perold, V. and Ryan, P. G.",2019,Little evidence that dams in the Orange-Vaal River system trap floating microplastics or microfibres,Marine Pollution Bulletin,149,,10.1016/j.marpolbul.2019.110664,land-based sources microfibres retention rate source to sea surface water plastic pollution marine-environment fresh-water urban river sediment pollution reservoirs transport fibers export soils,"Rivers can be major sources of plastics into coastal seas, but it is unclear whether dams retain floating plastics, thus reducing the amount reaching the sea. To test if dams trap microplastics, we collected bulk water and neuston net samples from five dams on the Orange-Vaal River system, South Africa. Most manufactured items were microfibres and densities of microplastics were modest (bulk water: 0.21 +/- 0.27 items.L-1; net: 0.04 +/- 0.16 items.m(-2)). There was an interaction between dam and season: dams on the densely populated Vaal River had higher microplastic concentrations during dry than wet conditions, whereas the opposite pattern occurred on the less industrialised Orange River. Overall there was no difference in microplastic concentration at sites above vs below dam walls nor was there a strong correlation between microplastic concentration and distance to the wall. Our results therefore suggest that dams do not trap floating microplastics or microfibres.",Ju0rq Times Cited:76 Cited References Count:42
RN29454,"Weideman, E. A. and Perold, V. and Ryan, P. G.",2020,"Limited long-distance transport of plastic pollution by the Orange-Vaal River system, South Africa",Sci Total Environ,727,138653,10.1016/j.scitotenv.2020.138653,Land-based sources Mesoplastics Plastic pollution Source-to-sea Surface water,"Much of the plastic waste entering the sea is thought to be transported from land by rivers, yet little is known about the distances over which rivers transport plastic. To address this knowledge gap, we collected surface water samples from the Orange-Vaal River at the end of the wet and dry seasons. The Vaal River drains South Africa's main urban-industrial centre, whereas the upper Orange River is sparsely populated. Below their confluence, the river flows through increasingly arid regions with very low human populations before entering the Atlantic Ocean. We collected bulk water samples from 33 bridges to test for microplastic and microfibre (0.025-1 mm) pollution and conducted observations for macrodebris (>50 mm). Where possible, we sampled for plastic fragments (>1 mm) using a neuston net. Microfibres and microplastics were found at every site (1.7 +/- 5.1 L(-1), >99% fibres) and accounted for 99% of the number of items recorded. Microfibres and microplastics were particularly abundant in the lower reaches during the period of low flow prior to the wet season flush. Macrodebris and larger microplastics were orders of magnitude less abundant (observations: 0.0002 +/- 0.0007 items.m(-2); neuston net: 0.34 +/- 0.93 items.m(-2)). However, at sites where larger items were found, they comprised most of the mass of plastic. Larger plastics were found mostly at sites in the upper reaches of the Vaal River. Our results suggest that, while the Orange-Vaal River system may be a source of microfibres to the Atlantic Ocean, larger plastic items typically only travel short distances. The Orange-Vaal River system therefore does not appear to be a major source of plastics into the Atlantic Ocean, at least under regular flow conditions.","Weideman, Eleanor A Perold, Vonica Ryan, Peter G eng Netherlands 2020/04/24 Sci Total Environ. 2020 Jul 20;727:138653. doi: 10.1016/j.scitotenv.2020.138653. Epub 2020 Apr 13."
RN29373,"Wen, X. and Du, C. and Xu, P. and Zeng, G. and Huang, D. and Yin, L. and Yin, Q. and Hu, L. and Wan, J. and Zhang, J. and Tan, S. and Deng, R.",2018,"Microplastic pollution in surface sediments of urban water areas in Changsha, China: Abundance, composition, surface textures",Mar Pollut Bull,136,414–423,10.1016/j.marpolbul.2018.09.043,"China Cities Environmental Monitoring/methods Geologic Sediments/*analysis Lakes Plastics/*analysis Rivers Water Pollutants, Chemical/*analysis Changsha Microplastic Surface sediment Urban water areas","Microplastics pollution in the global marine environment has received much recent research attention. However, microplastics contamination of the freshwater environment has not been fully studied, especially with respect to the surface sediments of urban water areas in China. This study investigated surface sediment samples from twelve selected sites in Changsha, China. The average microplastic concentrations in the surface sediments of the urban water areas ranged from 270.17 +/- 48.23 items.kg(-1) to 866.59 +/- 37.96 items.kg(-1), and the highest concentration of microplastics was found in Yuejin Lake sediments. Most of the collected microplastics were transparent, and most were classified as fragments. Most microplastics (58.31%) were smaller than 1 mm across all samples. Raman analysis indicated that polystyrene dominated the sediments samples. This study provided framework for future studies of microplastics pollution in the surface sediment of urban water areas in China.","Wen, Xiaofeng Du, Chunyan Xu, Piao Zeng, Guangming Huang, Danlian Yin, Lingshi Yin, Qide Hu, Liang Wan, Jia Zhang, Jinfan Tan, Shiyang Deng, Rui eng England 2018/12/05 Mar Pollut Bull. 2018 Nov;136:414-423. doi: 10.1016/j.marpolbul.2018.09.043. Epub 2018 Sep 26."
RN29600,"Wicaksono, E. A. and Werorilangi, S. and Galloway, T. S. and Tahir, A.",2021,"Distribution and Seasonal Variation of Microplastics in Tallo River, Makassar, Eastern Indonesia",Toxics,9,,10.3390/toxics9060129,characteristics coastal estuary plastics pollution riverine,"Attention towards microplastic (MP) pollution in various environments is increasing, but relatively little attention has been given to the freshwater-riverine environment. As the biggest city in the eastern Indonesia region, Makassar can be a potential source of MP pollution to its riverine area. This study aimed to determine the spatial trends, seasonal variation, and characteristics of MPs in the water and sediment of Tallo River, as the main river in Makassar. Water samples were collected using a neuston net and sediment samples were collected using a sediment corer. The samples collected contained MPs with an abundance ranging from 0.74 +/- 0.46 to 3.41 +/- 0.13 item/m(3) and 16.67 +/- 20.82 to 150 +/- 36.06 item/kg for water and sediment samples, respectively. The microplastic abundance in the Tallo River was higher in the dry season and tended to increase towards the lower river segment. Fragments (47.80-86.03%) and lines (12.50-47.80%) were the predominant shapes, while blue (19.49-46.15%) and transparent (14.29-38.14%) were the most dominant color. Polyethylene and polypropylene were the common MP polymers found in the Tallo river. Actions to prevent MP pollution in the Makassar riverine area are needed before MP pollution becomes more severe in the future.","Wicaksono, Ega Adhi Werorilangi, Shinta Galloway, Tamara S Tahir, Akbar eng 1739/UN4.21/PL.01.10/2019/Indonesia Ministry of Research, Technology, and Higher Education on Higher Education/ Switzerland 2021/07/03 Toxics. 2021 Jun 1;9(6):129. doi: 10.3390/toxics9060129."
RN29538,"Wicaksono, Ega Adhi and Werorilangi, Shinta and Tahir, Akbar",2021,"The influence of weirs on microplastic fate in the riverine environment (case study: Jeneberang River, Makassar City, Indonesia)",IOP Conference Series: Earth and Environmental Science,763,,10.1088/1755-1315/763/1/012054,,,
